[33m[ WARN] [1441931676.892116129]: The root link base_link has an inertia specified in the URDF, but KDL does not support a root link with an inertia.  As a workaround, you can add an extra dummy link to your URDF.[0m
0,        -1.55844e-12,              0.4618
0,            0.210079,            0.405509
4.90399e-14,            0.230079,            0.263509
0.02,            0.230079,            0.175509
-7.83391e-13,            0.230079,           0.0875094
-1.49285e-12,            0.230079,          -0.0624906
-1.49285e-12,            0.230079,          -0.0624906
0,        -1.55844e-12,              0.4618
0,           -0.210079,            0.405509
4.90399e-14,           -0.230079,            0.263509
0.02,           -0.230079,            0.175509
-7.83391e-13,           -0.230079,           0.0875094
-1.49285e-12,           -0.230079,          -0.0624906
-1.49285e-12,           -0.230079,          -0.0624906
0.0165,            0.227579,           -0.209491
0.0165,            0.224009,           -0.250331
0.0165,            0.218289,           -0.277231
0.0165,            0.227579,           -0.209491
-0.0165,            0.227579,           -0.209491
-0.0165,            0.224009,           -0.250331
-0.0165,            0.218289,           -0.277231
-0.0165,            0.227579,           -0.209491
0.02,            0.222079,           -0.144981
0.0165,           -0.227579,           -0.209491
0.0165,           -0.224009,           -0.250331
0.0165,           -0.218289,           -0.277231
0.0165,           -0.227579,           -0.209491
-0.0165,           -0.227579,           -0.209491
-0.0165,           -0.224009,           -0.250331
-0.0165,           -0.218289,           -0.277231
-0.0165,           -0.227579,           -0.209491
0.02,           -0.222079,           -0.144981
0,        -2.07204e-12,             0.56669
0.0445,        -2.07204e-12,             0.56669
0,               0.075,            -0.14353
0,               0.075,            -0.14353
0,               0.075,            -0.14353
1.46897e-12,               0.075,            -0.44353
2.93795e-12,               0.075,            -0.74353
2.93795e-12,               0.075,            -0.74353
0,              -0.075,            -0.14353
0,              -0.075,            -0.14353
0,              -0.075,            -0.14353
1.46897e-12,              -0.075,            -0.44353
2.93795e-12,              -0.075,            -0.74353
2.93795e-12,              -0.075,            -0.74353
0,                   0,             0.14353
0,                   0,             0.14353
