[33m[ WARN] [1442376645.360681870]: The root link rh_forearm has an inertia specified in the URDF, but KDL does not support a root link with an inertia.  As a workaround, you can add an extra dummy link to your URDF.[0m
0.033,             0.09106,            0.275397
0.033,           0.0749903,            0.256246
0.033,           0.0460648,            0.221774
0.033,           0.0460648,            0.221774
0.011,           0.0936311,            0.278462
0.011,           0.0775614,             0.25931
0.011,            0.048636,            0.224838
0.011,            0.048636,            0.224838
-0.011,             0.09106,            0.275397
-0.011,           0.0749903,            0.256246
-0.011,           0.0460648,            0.221774
-0.011,           0.0460648,            0.221774
0.0834975,           0.0289458,            0.214596
0.0608701,           0.0144012,            0.197263
0.034,         -0.00287054,            0.176679
0.034,         -0.00287054,            0.176679
