[33m[ WARN] [1441931881.021412986]: The root link base_link has an inertia specified in the URDF, but KDL does not support a root link with an inertia.  As a workaround, you can add an extra dummy link to your URDF.[0m
-0.086875,                   0,             0.37743
0.50165,         2.50174e-17,             0.78601
0.69865,         2.50174e-17,             0.78601
-0.03375,         3.69218e-17,            0.980431
0.10878,         4.04731e-17,             1.03843
1.1281,           -0.015425,             0.78601
0.0012914,             0.18738,            0.055325
1.1281,            0.015425,             0.78601
0.0012914,            -0.18738,            0.055325
0.14965,         2.50174e-17,             0.78601
0.03265,         2.13436e-17,             0.72601
-0.086875,                   0,             0.37743
0.36865,         2.50174e-17,             0.78601
0.82315,         2.50174e-17,             0.78601
0.96165,         2.50174e-17,             0.78601
