[33m[ WARN] [1441931890.601372170]: The root link base_footprint has an inertia specified in the URDF, but KDL does not support a root link with an inertia.  As a workaround, you can add an extra dummy link to your URDF.[0m
-0.2246,              0.2736,              0.0792
-0.2246,              0.1756,              0.0792
-0.2246,              0.2246,              0.0792
-0.2246,             -0.1756,              0.0792
-0.2246,             -0.2736,              0.0792
-0.2246,             -0.2246,              0.0792
0.2246,              0.2736,              0.0792
0.2246,              0.1756,              0.0792
0.2246,              0.2246,              0.0792
0.2246,             -0.1756,              0.0792
0.2246,             -0.2736,              0.0792
0.2246,             -0.2246,              0.0792
-0.06707,                   0,             1.17213
0.00093,                   0,             1.17213
0.45,               0.188,            0.790675
0.45,               0.188,            0.790675
0.93928,             0.17305,            0.790675
0.84791,               0.198,            0.790675
0.93928,             0.20295,            0.790675
0.93928,               0.188,            0.790675
0.93928,               0.188,            0.790675
0.84791,               0.178,            0.790675
0.93928,             0.17305,            0.790675
0.05,               0.188,            0.790675
-0.05,               0.188,            0.790675
0.05,               0.188,            0.790675
0.771,               0.188,            0.790675
0.771,               0.188,            0.790675
0.04893,                   0,             1.01768
0.45,              -0.188,            0.790675
0.45,              -0.188,            0.790675
0.93928,            -0.20295,            0.790675
0.84791,              -0.178,            0.790675
0.93928,            -0.17305,            0.790675
0.93928,              -0.188,            0.790675
0.93928,              -0.188,            0.790675
0.84791,              -0.198,            0.790675
0.93928,            -0.20295,            0.790675
0.05,              -0.188,            0.790675
-0.05,              -0.188,            0.790675
0.05,              -0.188,            0.790675
0.771,              -0.188,            0.790675
0.771,              -0.188,            0.790675
-0.05,                   0,            0.790675
-0.15,                   0,               0.751
