[33m[ WARN] [1441943622.867108792]: The root link base_link has an inertia specified in the URDF, but KDL does not support a root link with an inertia.  As a workaround, you can add an extra dummy link to your URDF.[0m
0.405,                   0,                1.53
0.405,                   0,               1.631
0.395,            0.154263,               1.204
0.395001,            0.327467,               1.304
0.395002,            0.500672,               1.404
0.395003,            0.673877,               1.504
0.395004,            0.847082,               1.604
0.395005,             1.01163,               1.699
0.395005,             1.07918,               1.738
0.153172,            0.997929,             1.77106
0.05876,            0.988186,             1.79464
0.0877207,            0.991175,             1.78741
0.153172,            0.997929,             1.77106
0.148632,            0.962537,             1.75203
0.0541644,            0.949881,             1.77395
0.0831422,            0.953763,             1.76723
0.148632,            0.962537,             1.75203
0.153191,            0.928364,             1.73089
0.0587789,             0.91281,             1.75112
0.0877397,            0.917581,             1.74491
0.153191,            0.928364,             1.73089
0.201188,             1.06587,             1.80105
0.123805,             1.10409,             1.84705
0.293329,             1.00606,             1.73084
0.147542,             1.09236,             1.83294
0.201188,             1.06587,             1.80105
0.38588,           -0.152549,              1.2086
0.387261,           -0.326252,             1.30772
0.388642,           -0.499955,             1.40684
0.390023,           -0.673658,             1.50597
0.391403,           -0.847361,             1.60509
0.392715,            -1.01238,             1.69925
0.393254,            -1.08012,             1.73791
0.151404,           -0.999894,             1.77325
0.0570988,           -0.984774,              1.7943
0.0860268,           -0.989412,             1.78784
0.151404,           -0.999894,             1.77325
0.146593,           -0.964423,             1.75444
0.0522555,           -0.952209,             1.77716
0.0811934,           -0.955956,             1.77019
0.146593,           -0.964423,             1.75444
0.150869,           -0.930128,             1.73344
0.0566098,           -0.920835,              1.7578
0.0855236,           -0.923686,             1.75033
0.150869,           -0.930128,             1.73344
0.199888,            -1.06782,             1.80253
0.122998,            -1.10653,             1.84894
0.291272,            -1.00733,              1.7319
0.146584,            -1.09466,              1.8347
0.199888,            -1.06782,             1.80253
0.403701,         -0.00616394,             1.41048
